Fecha,Hora,Radiacion,Temperatura
2019-01-31,20,-1,296.15
2019-01-31,21,-1,296.15
2019-01-31,21,-1,296.25
2019-01-31,21,-1,296.25
2019-01-31,21,-1,296.25
2019-01-31,21,-1,296.25
2019-01-31,21,-1,296.25
2019-01-31,21,-1,296.25
2019-01-31,21,-1,296.15
2019-01-31,21,-1,296.15
2019-01-31,21,-1,296.25
2019-01-31,21,-1,296.15
2019-01-31,21,-1,296.15
2019-01-31,22,-1,296.15
2019-01-31,22,-1,296.15
2019-01-31,22,-1,296.15
2019-01-31,22,-1,296.15
2019-01-31,22,-1,296.05
2019-01-31,22,-1,296.05
2019-01-31,22,-1,296.05
2019-01-31,22,-1,296.05
2019-01-31,22,-1,295.95
2019-01-31,22,0,295.95
2019-01-31,22,0,295.95
2019-01-31,22,0,295.95
2019-01-31,23,0,295.95
2019-01-31,23,0,295.95
2019-01-31,23,0,295.95
2019-01-31,23,0,295.95
2019-01-31,23,0,295.95
2019-01-31,23,0,295.95
2019-01-31,23,0,295.95
2019-01-31,23,0,295.95
2019-01-31,23,-1,295.95
2019-01-31,23,0,295.95
2019-01-31,23,-1,295.95
2019-01-31,23,-1,295.85
2019-02-01,00,-1,295.75
2020-01-30,00,0,299.25
2020-01-30,00,-1,299.25
2020-01-30,00,-1,299.25
2020-01-30,00,-2,299.25
2020-01-30,00,-2,299.15
2020-01-30,00,-2,299.15
2020-01-30,00,-2,299.15
2020-01-30,00,-2,299.15
2020-01-30,00,-1,299.05
2020-01-30,00,-2,299.05
2020-01-30,00,-2,298.95
2020-01-30,01,-1,298.95
2020-01-30,01,-2,298.85
2020-01-30,01,-1,298.85
2020-01-30,01,-1,298.85
2020-01-30,01,-1,298.85
2020-01-30,01,-1,298.85
2020-01-30,01,-1,298.75
2020-01-30,01,-1,298.75
2020-01-30,01,-1,298.75
2020-01-30,01,-1,298.65
2020-01-30,01,-1,298.65
2020-01-30,01,-1,298.55
2020-01-30,02,-1,298.55
2020-01-30,02,-1,298.55
